Earnings,NrComps,Prof,Unprof,Workers,FAssets,CAssets,FCAssets,Assets,Equity,Liab,LTLiab,STLiab,SUBLiab,MatExp,PersExp,Dep
9.047,2598,1374,1224,36.677,238.849,221.645,460.494,469.226,237.612,222.713,87.325,131.381,4.007,303.873,58.564,26.011
1.553,605,304,301,5.079,31.787,21.056,52.843,53.346,27.542,24.345,9.41,13.959,0.976,35.92,6.822,3.052
1.967,644,315,329,3.003,44.741,20.084,64.825,65.174,30.358,31.811,12.382,17.558,1.871,20.559,3.83,2.22
0.516,456,258,198,13.11,86.556,64.779,151.335,152.52,80.476,68.522,27.909,39.145,1.468,92.668,21.744,8.622
-0.027,162,86,76,0.51,6.268,3.725,9.993,10.312,3.335,6.655,3.147,2.567,0.941,5.9,0.486,0.529
-2.769,338,158,180,9.815,62.501,58.737,121.238,122.102,61.499,58.507,21.708,36.304,0.495,93.973,15.498,4.646
0.599,559,335,224,6.968,50.562,48.739,99.301,99.797,38.354,59.238,16.191,42.29,0.757,114.383,10.1,7.102
0.004,187,96,91,1.481,10.885,8.524,19.409,19.607,9.34,9.757,3.681,5.97,0.106,14.831,2.384,1.094
-1.507,388,164,224,12.318,68.766,55.656,124.422,125.579,71.673,50.985,21.686,29.126,0.173,76.397,20.163,6.252
3.687,1541,840,701,8.289,40.751,37.625,78.376,79.199,34.891,40.478,12.869,26.761,0.848,76.421,11.446,4.862
0.219,187,96,91,0.762,4.674,4.722,9.396,9.438,4.579,4.471,1.601,2.84,0.03,13.965,1.252,0.442
-0.202,139,48,91,0.399,3.42,3.213,6.633,6.67,2.496,3.98,1.098,2.838,0.044,4.828,0.619,0.205
1.623,1151,587,564,8.992,43.911,28.565,72.476,73.061,53.004,16.333,4.647,11.524,0.162,42.954,18.058,3.512
0.411,325,201,124,1.215,4.887,3.573,8.46,8.501,4.716,3.53,1.287,2.165,0.078,6.71,1.68,0.466
0.474,75,45,30,1.07,7.324,4.277,11.601,11.678,6.425,4.548,1.834,2.537,0.177,3.79,1.601,0.367
0.163,79,33,46,0.375,3.495,1.905,5.4,5.498,2.835,2.358,0.772,1.353,0.233,2.416,0.427,0.213
0.487,5,3,2,0.415,0.507,1.03,1.537,1.547,0.599,0.731,0.004,0.714,0.013,3.385,1.23,0.205
1.049,13,13,0,0.622,2.225,4.056,6.281,6.321,1.645,4.066,0.389,3.678,-0.001,9.207,2.143,0.19
0.066,5,4,1,0.063,0.264,0.159,0.423,0.425,0.275,0.15,0.038,0.112,0,0.243,0.107,0.037
0.998,15,4,11,0.636,6.374,3.232,9.606,9.631,4.277,4.231,1.006,3.226,-0.001,6.12,2.728,0.703
0.2,11,4,7,0.294,3.771,2.599,6.37,6.39,1.989,4.2,2.762,1.438,0,2.223,1.262,0.25
0.266,9,4,5,0.695,2.587,0.749,3.336,3.734,2.237,1.404,0.022,1.382,0,2.709,2.162,0.381
1.421,60,32,28,0.718,5.896,4.86,10.756,10.936,4.401,5.685,1.21,4.452,0.023,5.875,1.685,0.86
1.34,20,13,7,0.552,14.329,8.504,22.833,22.962,12.237,10.163,4.478,5.68,0.005,7.06,2.101,1.112
5.172,224,129,95,1.915,30.188,19.221,49.409,49.873,24.479,24.415,9.726,12.249,2.44,24.944,4.176,2.708
0.014,14,7,7,0.114,0.219,0.314,0.533,0.61,0.345,0.257,0.006,0.251,0,0.349,0.154,0.033
0.009,3,1,2,0.072,0.325,0.206,0.531,0.535,0.494,0.027,0.002,0.025,0,0.404,0.195,0.089
-0.019,15,9,6,0.237,0.533,0.493,1.026,1.046,0.47,0.547,0.104,0.438,0.005,0.924,0.328,0.045
5.451,309,171,138,14.675,67.24,86.238,153.478,156.123,53.499,96.872,27.533,68.217,1.122,216.328,27.648,6.154
-6.253,101,62,39,15.776,61.818,75.633,137.451,138.357,29.436,101.322,7.037,94.177,0.108,210.182,28.149,7.977
2.358,53,36,17,5.005,31.586,41.204,72.79,73.741,28.168,44.069,3.557,40.487,0.025,78.223,9.188,2.37
0.013,12,6,6,0.153,0.431,0.468,0.899,0.902,0.306,0.565,0.122,0.443,0,1.127,0.172,0.051
1.21,11,7,4,0.879,6.959,7.848,14.807,14.869,6.401,8.216,1.049,7.166,0.001,11.356,2.126,0.597
4,37,24,13,1.322,12.708,21.512,34.22,34.715,19.116,14.812,1.579,13.165,0.068,38.417,3.647,1.62
5.826,261,164,97,9.107,65.39,84.864,150.254,151.073,58.825,88.426,11.485,75.748,1.193,121.778,14.97,4.7
0.037,38,20,18,0.158,0.808,0.805,1.613,1.615,0.707,0.858,0.172,0.631,0.055,1.229,0.187,0.101
4.464,10,5,5,0.372,6.46,27.996,34.456,34.525,13.946,19.955,0.244,19.711,0,39.902,2.428,0.819
0.004,3,1,2,0.074,0.305,0.867,1.172,1.176,0.205,0.944,0.325,0.619,0,2.573,0.24,0.034
-2.738,84,43,41,8.321,93.889,63.85,157.739,158.526,68.855,83.007,19.127,63.78,0.1,200.656,19.091,9.998
0.318,8,6,2,0.48,4.423,3.344,7.767,7.787,5.494,1.926,0.428,1.498,0,5.42,0.906,0.339
5.13,138,85,53,5.182,30.212,45.331,75.543,75.963,32.021,42.563,4.367,38.045,0.151,70.037,9.716,1.983
7.481,4,2,2,0.313,8.749,11.532,20.281,20.334,7.728,12.504,0.006,12.498,0,18.358,1.492,1.6
7.233,145,101,44,3.874,23.25,54.012,77.262,78.844,31.244,46.006,6.039,39.883,0.084,114.368,10.093,2.749
6.579,27,15,12,1.049,15.211,11.135,26.346,26.406,13.013,11.449,3.981,7.451,0.017,30.032,3.146,1.369
3.673,779,459,320,21.051,37.113,23.104,60.217,60.749,27.392,31.286,7.717,22.941,0.628,71.592,24.107,3.914
3.88,70,40,30,2.259,12.715,9.724,22.439,22.522,14.168,6.387,1.273,5.083,0.031,18.93,4.93,1.417
1.661,6,2,4,0.997,22.024,24.285,46.309,46.356,22.683,22.85,0.004,22.847,-0.001,39.155,3.316,2.103
5.743,153,81,72,5.595,37.108,51.921,89.029,90.838,32.034,53.655,15.911,37.274,0.47,99.962,13.736,4.348
0.564,107,63,44,2.146,7.553,11.309,18.862,18.94,8.821,9.625,0.834,8.704,0.087,20.018,2.48,0.948
0.83,22,13,9,0.501,4.08,5.903,9.983,10.034,5.662,4.148,0.222,3.89,0.036,10.191,1.598,0.5
1.353,26,16,10,1.078,5.229,7.601,12.83,12.859,5.385,7.162,0.73,6.395,0.037,12.014,2.417,0.443
0.153,11,8,3,0.228,1.516,1.122,2.638,2.693,1.221,1.312,0.278,1.021,0.013,3.974,0.325,0.131
2.783,146,85,61,4.418,14.299,18.953,33.252,34.566,17.458,15.727,1.495,14.157,0.075,33.166,6.339,2.024
3.448,155,103,52,1.602,11.771,25.026,36.797,37.017,17.054,17.843,0.63,16.967,0.246,45.372,4.239,1.075
0.396,7,6,1,0.108,0.933,1.358,2.291,2.294,1.79,0.44,0.033,0.407,0,3.743,0.432,0.129
1.303,477,251,226,4.652,48.678,56.771,105.449,105.81,51.156,52.403,13.841,35.569,2.993,52.472,7.663,3.449
-0.002,3,1,2,0.003,0.013,0.016,0.029,0.029,0,0.028,0.004,0.024,0,0.015,0.002,0.002
0.031,17,7,10,0.031,0.418,0.934,1.352,1.388,0.397,0.991,0.013,0.125,0.853,0.068,0.034,0.009
9.798,94,47,47,2.268,19.125,60.331,79.456,81.506,36.846,40.898,2.461,37.739,0.698,45.258,8.541,3.68
0.283,3,1,2,0.045,6.073,4.06,10.133,10.176,2.608,7.457,2.75,4.707,0,4.6,0.179,0.174
-0.059,172,82,90,4.414,47.395,50.186,97.581,98.805,61.844,31.775,5.635,25.701,0.439,86.499,14.816,6.816
13.097,6,6,0,1.587,49.301,75.789,125.09,127.065,27.17,96.254,25.535,70.719,0,48.961,10.112,3.557
0.204,29,18,11,1.072,5.385,3.248,8.633,8.641,3.001,5.342,2.113,3.21,0.019,5.37,1.635,0.676
-0.107,9,5,4,0.386,3.824,2.695,6.519,6.547,1.126,5.182,0.35,4.776,0.056,5.286,0.608,0.507
0.189,3,2,1,0.671,2.58,2.513,5.093,5.098,1.052,3.882,2.084,1.798,0,4.065,1.204,0.364
-0.029,3,1,2,1.617,2.68,5.906,8.586,8.615,1.533,6.867,0.003,6.864,0,8.146,2.896,0.521
-0.011,5,2,3,0.038,0.06,0.068,0.128,0.128,0.035,0.092,0.003,0.075,0.014,0.104,0.057,0.008
0.604,22,8,14,1.74,7.76,5.735,13.495,13.698,9.601,3.884,0.579,3.305,0,6.626,2.368,0.712
0.068,7,5,2,2.105,0.262,0.352,0.614,0.715,0.29,0.413,0.011,0.403,-0.001,1.784,1.934,0.052
-0.192,64,26,38,0.979,8.924,5.003,13.927,13.997,4.187,9.5,2.515,6.888,0.097,7.367,1.589,0.638
1.734,300,170,130,12.474,17.203,17.177,34.38,34.529,17.473,16.12,3.029,12.862,0.229,27.856,15.611,1.672
0.068,16,10,6,0.478,0.668,1.14,1.808,1.812,1.06,0.729,0.075,0.653,0.001,1.518,0.556,0.066
0.054,9,8,1,0.542,3.47,1.509,4.979,4.995,3.084,1.832,0.105,1.727,0,2.096,0.77,0.144
0.292,18,12,6,0.402,1.345,1.302,2.647,2.655,1.318,1.223,0.149,1.073,0.001,3.515,0.529,0.123
2.617,174,92,82,4.608,13.654,24.563,38.217,38.493,21.141,16.385,2.75,13.606,0.029,36.708,6.839,1.665
0.287,57,30,27,0.67,3.052,2.177,5.229,5.294,2.874,2.256,0.321,1.721,0.214,4.03,0.803,0.304
0.28,49,30,19,0.691,1.213,1.333,2.546,2.577,0.85,1.633,0.428,1.205,0,1.902,0.908,0.153
0.048,106,53,53,2.372,2.679,2.364,5.043,5.087,2.031,2.849,0.668,2.054,0.127,4.872,2.267,0.324
0.286,62,31,31,1.184,1.298,2.223,3.521,3.531,1.088,2.293,0.511,1.767,0.015,3.151,1.26,0.106
0.562,146,85,61,6.704,4.458,5.661,10.119,10.143,5.096,4.633,0.398,4.109,0.126,11.885,7.06,0.552
9.857,999,422,577,23.881,26.754,57.459,84.213,84.534,37.957,45.548,5.653,39.203,0.692,97.218,25.661,2.721
2.365,123,68,55,15.736,10.479,10.112,20.591,20.732,9.012,11.227,2.821,8.277,0.129,17.293,11.647,1.172
0.084,207,107,100,5.482,3.979,5.836,9.815,9.93,3.779,5.749,0.716,4.97,0.063,9.056,5.776,0.481
-0.004,19,6,13,0.15,0.279,0.49,0.769,0.776,0.237,0.513,0.118,0.366,0.029,0.751,0.166,0.023
0.331,17,11,6,0.688,1.326,1.737,3.063,3.135,1.743,1.347,0.084,1.219,0.044,3.532,1.35,0.125
1.085,103,53,50,3.562,3.577,6.383,9.96,10.001,4.969,4.864,0.938,3.868,0.058,12.92,4.561,0.368
-0.584,248,127,121,11.794,12.487,18.874,31.361,31.539,15.163,15.424,1.773,13.499,0.152,26.821,15.172,1.266
0.525,534,318,216,5.144,15.412,13.85,29.262,29.385,9.723,19.018,5.824,12.464,0.73,33.031,5.37,1.705
1.809,39,23,16,2.354,21.705,20.468,42.173,42.283,24.415,17.41,3.984,13.173,0.253,35.079,5.077,1.767
4.346,825,458,367,8.663,29.618,30.991,60.609,61.476,30.058,29.093,8.632,20.092,0.369,68.558,12.471,3.772
0.721,163,104,59,5.448,5.977,5.326,11.303,11.397,4.755,6.11,1.183,4.855,0.072,14.5,5.559,0.62
0.701,204,104,100,3.304,6.865,4.94,11.805,11.903,4.721,6.722,2.453,4.097,0.172,10.265,3.492,0.616
0.038,25,14,11,0.323,0.378,0.62,0.998,1.008,0.327,0.668,0.101,0.528,0.039,1.193,0.325,0.036
0.035,3,2,1,0.053,0.577,0.494,1.071,1.136,0.249,0.886,0.667,0.219,0,1.49,0.118,0.042
4.861,38,26,12,3.285,46.852,46.943,93.795,94.769,45.64,45.774,8.843,36.913,0.018,98.956,11.14,4.569
6.791,200,137,63,4.596,30.493,30.007,60.5,60.834,29.216,29.004,7.642,21.276,0.086,64.069,10.431,3.192
0.578,23,12,11,0.601,2.727,4.34,7.067,7.083,2.711,4.257,0.476,3.77,0.011,10.446,0.752,0.219
0.876,35,25,10,2.249,4.687,5.049,9.736,9.839,5.255,4.244,0.814,3.397,0.033,10.02,3.555,0.397
0.002,4,2,2,0.008,0.011,0.066,0.077,0.084,-0.02,0.104,0.047,0.057,0,0.1,0.003,0.002
2.041,67,48,19,2.462,9.785,8.594,18.379,18.45,9.974,7.916,3.267,4.541,0.108,14.612,4.218,1.162
6.17,794,464,330,3.845,23.551,41.915,65.466,66.299,38.266,23.873,2.487,20.819,0.567,54.214,11.963,3.504
3.816,140,81,59,2.138,12.26,15.722,27.982,31.027,10.412,17.405,3.87,13.36,0.175,53.655,6.451,1.831
4.047,643,329,314,3.135,19.403,30.422,49.825,52.458,26.743,19.079,1.791,16.967,0.321,56.511,9.1,3.311
0.348,121,63,58,0.293,0.836,7.018,7.854,8.034,2.351,4.692,0.129,4.548,0.015,16.718,1.294,0.196
0.176,142,89,53,0.536,1.618,3.037,4.655,4.709,1.852,2.775,0.541,2.144,0.09,5.733,0.73,0.241
1.287,51,33,18,1.461,15.625,5.627,21.252,21.575,10.151,11.066,3.176,7.887,0.003,14.166,3.96,1.588
6.439,844,519,325,8.867,46.625,37.812,84.437,85.53,42.025,40.986,7.61,33.107,0.269,74.161,17.522,5.373
0.167,77,47,30,1.048,1.685,1.668,3.353,3.378,1.893,1.251,0.217,1.025,0.009,2.474,1.311,0.212
0.239,152,88,64,0.363,0.846,1.359,2.205,2.263,0.94,1.246,0.114,1.116,0.016,3.45,0.441,0.185
2.943,869,526,343,5.078,14.998,17.105,32.103,32.342,13.715,17.56,3.394,13.875,0.291,39.987,6.995,2.301
0.146,15,7,8,0.144,0.36,0.617,0.977,0.981,0.375,0.593,0.093,0.5,0,1.043,0.256,0.042
0.165,15,8,7,0.133,0.978,0.928,1.906,1.913,0.688,1.196,0.342,0.813,0.041,1.601,0.379,0.198
0.226,55,30,25,0.223,1.77,2.431,4.201,4.25,1.26,2.875,1.006,1.868,0.001,3.036,0.538,0.229
-1.324,3,2,1,0.939,1.152,10.116,11.268,11.296,-0.42,11.689,0.015,11.674,0,34.114,2.677,0.313
57.23,8,8,0,7.354,824.049,599.742,1423.791,1435.598,734.186,617.588,250.208,367.378,0.002,1036.618,50.356,52.472
19.1,10,6,4,3.854,146.921,60.174,207.095,207.668,122.037,82.544,21.541,61.003,0,102.157,13.664,11.602
-0.651,13,7,6,0.356,3.747,2.917,6.664,6.672,1.787,4.782,0.111,4.671,0,5.366,1.159,0.466
2.337,43,31,12,0.95,13.607,13.015,26.622,26.708,16.219,10.093,1.232,8.852,0.009,21.752,2.663,1.031
2.226,74,44,30,1.865,14.579,11.45,26.029,26.209,15.722,9.55,1.922,7.574,0.054,20.726,5.023,1.423
0.378,17,15,2,1.262,6.335,10.717,17.052,17.267,4.088,12.921,4.388,8.523,0.01,22.415,3.529,0.935
3.821,50,27,23,3.078,129.61,73.573,203.183,203.794,112.45,83.681,45.655,38.019,0.007,148.493,12.266,7.901
1.221,32,23,9,0.825,13.281,7.551,20.832,21.062,10.258,10.478,1.998,8.378,0.102,10.615,2.562,0.633
2.435,61,42,19,1.48,8.79,14.25,23.04,23.149,11.252,11.291,2.384,8.885,0.022,26.708,4.69,1.11
0.175,24,10,14,0.622,12.61,5.017,17.627,17.955,12.96,4.609,0.61,3.999,0,7.798,1.875,1.077
86.783,69,39,30,11.491,492.218,297.046,789.264,803.496,633.965,153.728,29.769,123.959,0,162.891,57.562,30.193
6.617,58,42,16,1.92,15.344,25.283,40.627,40.816,16.927,20.717,0.488,20.217,0.012,58.183,5.968,1.906
2.339,52,34,18,0.967,4.494,8.782,13.276,13.301,5.503,6.758,1.685,5.055,0.018,18.569,2.839,0.689
0.013,10,2,8,0.207,1.245,1.02,2.265,2.268,1.267,0.982,0.34,0.636,0.006,1.992,0.468,0.115
0.305,7,5,2,0.093,0.72,1.331,2.051,2.062,1.707,0.312,0.005,0.306,0.001,1.381,0.19,0.042
0.113,13,9,4,0.116,1.106,1.337,2.443,2.467,0.693,1.76,0.476,1.221,0.063,1.437,0.345,0.185
0.045,4,1,3,0.006,0.017,0.53,0.547,0.547,0.035,0.511,0.065,0.445,0.001,2.475,0.009,0.001
1.019,58,38,20,0.708,2.487,5.409,7.896,7.958,4.917,2.876,0.375,2.501,0,7.946,1.88,0.265
-0.381,7,4,3,0.52,3.783,1.657,5.44,5.447,2.03,3.319,0.891,2.428,0,3.972,1.157,0.337
1.686,19,12,7,3.761,23.387,36.965,60.352,60.817,9.151,50.564,4.682,45.872,0.01,70.363,14.439,2.842
0.04,13,9,4,0.077,0.157,0.318,0.475,0.476,0.264,0.206,0.03,0.154,0.022,0.576,0.093,0.019
3.373,105,64,41,3.586,21.111,18.369,39.48,40.312,16,23.314,8.456,14.769,0.089,37.17,9.205,2.272
7.746,155,108,47,4.362,35.634,34.991,70.625,71.235,37.138,32.324,5.934,25.82,0.57,63.667,10.147,5.151
6.636,271,180,91,6.266,73.029,44.328,117.357,120.084,69.061,48.843,9.489,38.89,0.464,89.505,13.281,7.487
2.101,237,142,95,2.849,12.115,15.617,27.732,27.8,13.796,13.68,2.048,11.512,0.12,32.614,4.53,1.175
19.336,561,362,199,15.155,81.178,88.536,169.714,170.788,67.653,97.73,17.549,79.677,0.504,163.884,32.078,10.116
2.151,13,8,5,0.404,5.71,9.714,15.424,15.467,12.861,1.881,0.208,1.631,0.042,10.097,1.347,0.836
0.496,92,52,40,1.5,4.827,4.004,8.831,8.894,3.015,5.424,1.23,3.934,0.26,9.059,2.764,0.539
-0.543,22,15,7,2.97,11.04,11.204,22.244,22.312,14.754,6.843,1.034,5.809,0,13.053,5.447,1.755
0.438,57,32,25,0.623,2.138,1.836,3.974,3.979,0.888,2.933,0.753,2.172,0.008,3.309,1.01,0.212
0.046,80,36,44,3.43,8.319,6.283,14.602,14.64,10.278,4.171,1.354,2.81,0.007,4.697,7.11,0.761
2.593,4,2,2,1.116,4.7,6.55,11.25,11.316,6.579,4.223,0.001,4.223,-0.001,8.294,3.098,0.875
0.18,3,3,0,0.228,0.169,0.627,0.796,0.796,0.54,0.244,0.06,0.184,0,0.81,0.375,0.023
1.359,6,5,1,0.404,3.014,4.213,7.227,7.371,5.645,1.574,0.96,0.613,0.001,1.632,0.901,0.274
-0.003,48,21,27,0.315,0.627,0.684,1.311,1.323,0.612,0.69,0.195,0.483,0.012,0.954,0.391,0.108
1.052,33,19,14,1.065,2.533,6.517,9.05,9.077,3.974,4.658,0.313,4.326,0.019,10.427,3.275,0.523
0.571,16,10,6,1.305,13.987,5.176,19.163,19.256,13.353,5.517,3.134,2.383,0,6.074,2.802,0.694
12.458,43,31,12,3.155,35.249,25.14,60.389,60.7,23.956,35.452,5.731,29.721,0,30.516,7.399,3.341
17.43,10,7,3,1.449,50.805,23.783,74.588,75.094,47.945,25.572,0.244,25.328,0,33.899,6.285,2.932
0.587,11,7,4,0.087,2.062,1.539,3.601,3.636,2.581,1.033,0.049,0.984,0,4.44,0.24,0.123
6.941,195,117,78,4.178,31.601,25.785,57.386,57.617,27.889,28.006,7.032,19.851,1.123,47.482,8.898,2.938
-0.028,18,7,11,0.158,0.123,0.381,0.504,0.506,-0.03,0.532,0.058,0.475,-0.001,1.215,0.136,0.016
2.521,120,83,37,1.265,15.178,16.514,31.692,31.766,17.048,14.009,2.604,11.256,0.149,39.152,3.212,1.317
0.845,12,9,3,0.292,5.884,3.883,9.767,9.789,5.024,4.693,2.385,2.308,0,9.128,1.427,0.637
-0.168,3,1,2,0.105,0.086,0.279,0.365,0.367,0.103,0.248,0.018,0.231,-0.001,0.705,0.319,0.02
0.942,101,51,50,1.033,3.457,4.317,7.774,7.883,4.037,3.803,0.716,3.076,0.011,10.523,1.559,0.38
0.646,156,79,77,1.13,4.918,5.305,10.223,10.251,4.47,5.671,1.013,4.598,0.06,9.48,1.496,0.347
0.142,9,5,4,0.288,1.081,0.851,1.932,1.939,1.181,0.697,0.161,0.536,0,1.769,0.703,0.094
2.274,65,38,27,1.38,16.795,14.814,31.609,31.674,13.108,17.587,3.496,14.059,0.032,32.772,4.107,2.481
